path	reason
archive/pc/mod/H1.archive	TweakXL vehicle record errors: Vehicle.h1_base / Vehicle.h1_nomad
archive/pc/mod/H1_ex_color.archive	part of H1 vehicle mod disabled with broken tweak
archive/pc/mod/H1_interior_color.archive	part of H1 vehicle mod disabled with broken tweak
archive/pc/mod/H1_wheel_color.archive	part of H1 vehicle mod disabled with broken tweak
r6/tweaks/h1/h1.yaml	TweakXL vehicle record errors: Vehicle.h1_base / Vehicle.h1_nomad
r6/tweaks/MoreModsMoreFun/MoreModsMoreFun_Melee.yaml	TweakXL duplicate weapon-slot definitions; keeping Slots Slots Slots
r6/tweaks/MoreModsMoreFun/MoreModsMoreFun_Ranged.yaml	TweakXL duplicate weapon-slot definitions; keeping Slots Slots Slots
